代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
91664522804199424, 000828, 0P00014HCP, 泰达宏利转型机遇股票A, 普通股票型, 5, 5, 57.09
91664524104433664, 003853, 0P0001D5H7, 金鹰信息产业股票A, 行业股票 - 科技、传媒及通讯, 5, 0, 34.84
91664524809076736, 000336, 0P0000ZQ30, 农银研究精选混合, 积极配置型, 5, 3, 39.12
91664525639548928, 001644, 0P00016LM1, 汇丰晋信智造先锋股票C, 普通股票型, 5, 5, 28.97
91664526415495168, 001245, 0P00015ZIV, 工银生态环境股票, 普通股票型, 5, 4, 50.64
91664527816392704, 090018, 0P0000VE3A, 大成新锐产业混合, 积极配置型, 5, 5, 77.25
91664530194563072, 003984, 0P00019L9P, 嘉实新能源新材料股票A, 普通股票型, 5, 0, 23.69
91664532128137216, 004784, 0P0001BI6K, 招商稳健优选股票, 普通股票型, 5, 0, 51.08
91664534745382912, 003985, 0P00019L9Q, 嘉实新能源新材料股票C, 普通股票型, 5, 0, 23.23
91664539589804032, 004813, 0P0001CGEX, 中欧先进制造股票C, 沪港深股票型基金, 5, 0, 26.09
91664541246554112, 700003, 0P0000VVO0, 平安策略先锋混合, 标准混合型, 5, 4, 51.67
91664542228021248, 005136, 0P0001BOT2, 华安幸福生活混合, 积极配置型, 5, 0, 32.37
91664543226265600, 005969, 0P0001DBFT, 创金合信工业周期精选股票C, 普通股票型, 5, 0, 22.48
91664544304201728, 000209, 0P0000YYWI, 信诚新兴产业混合A, 积极配置型, 5, 2, 83.29
91664545637990400, 005885, 0P0001D5H8, 金鹰信息产业股票C, 行业股票 - 科技、传媒及通讯, 5, 0, 34.44
91664546556542976, 001643, 0P00016LM0, 汇丰晋信智造先锋股票A, 普通股票型, 5, 5, 29.45
91664547307323392, 003834, 0P0001ACCP, 华夏能源革新股票A, 普通股票型, 5, 0, 39.66
91664548146184192, 165516, 0P0000VO6G, 信诚周期轮动混合(LOF), 积极配置型, 5, 5, 37.20
91664548993433600, 550009, F0000004IM, 信诚中小盘混合, 积极配置型, 5, 4, 50.90
91664549849071616, 001410, 0P0001696E, 信达澳银新能源产业股票, 普通股票型, 5, 5, 41.84
91664550629212160, 004997, 0P0001BFNL, 广发高端制造股票A, 普通股票型, 5, 0, 18.38
91664551317078016, 004812, 0P0001CGEW, 中欧先进制造股票A, 沪港深股票型基金, 5, 0, 26.83
91664552038498304, 519002, 0P0000YVK0, 华安安信消费混合, 积极配置型, 5, 5, 29.95
91664552969633792, 005968, 0P0001DBFS, 创金合信工业周期精选股票A, 普通股票型, 5, 0, 23.12
91664553695248384, 481010, F0000004IN, 工银中小盘混合, 积极配置型, 5, 3, 18.24
91664578064154624, 005825, 0P0001D4T5, 申万菱信智能驱动股票, 普通股票型, 5, 0, 33.88
91664578932375552, 000541, 0P00011XG7, 华商创新成长灵活配置混合, 积极配置型, 5, 3, 25.78
91664579674767360, 000409, 0P00011WBT, 鹏华环保产业股票, 普通股票型, 5, 5, 33.39
91664580417159168, 001694, 0P00017BUF, 华安沪港深外延增长混合, 沪港深积极配置型, 5, 5, 13.32
91664581230854144, 003567, 0P00019HX6, 华夏行业景气混合, 积极配置型, 5, 0, 65.71
91664582182961152, 001476, 0P0001660F, 中银智能制造股票A, 普通股票型, 5, 4, 32.24
91664582900187136, 001717, 0P000176PX, 工银前沿医疗股票A, 行业股票 - 医药, 5, 5, 26.65
91664583688716288, 210003, F0000004FZ, 金鹰行业优势混合, 积极配置型, 5, 4, 54.32
91664584426913792, 005668, 0P0001D9OF, 融通新能源汽车主题精选灵活配置混合A, 沪港深积极配置型, 5, 0, 17.56
91664585131556864, 004925, 0P0001BP1Y, 长信低碳环保行业量化股票A, 普通股票型, 5, 0, 49.68
91664585848782848, 001126, 0P00015IDX, 上投摩根卓越制造股票, 普通股票型, 5, 4, 9.55
91664586591174656, 001811, 0P000179WG, 中欧明睿新常态混合A, 积极配置型, 5, 5, 43.01
91664587312594944, 000991, 0P00015AHP, 工银战略转型股票A, 普通股票型, 5, 5, 18.80
91664588113707008, 002168, 0P000176WZ, 嘉实智能汽车股票, 普通股票型, 5, 5, 19.79
91664588893847552, 000924, 0P00014ZW6, 宝盈先进制造灵活配置混合A, 积极配置型, 5, 5, 28.27
91664589728514048, 001616, 0P000171KA, 嘉实环保低碳股票, 普通股票型, 5, 5, 15.40
91664590538014720, 001279, 0P00015XQU, 中海积极增利灵活配置混合, 积极配置型, 5, 3, 48.46
91664591234269184, 398051, 0P0000Q7VG, 中海环保新能源混合, 标准混合型, 5, 4, 41.81
91664591989243904, 005630, 0P0001CM8P, 华安研究精选混合A, 积极配置型, 5, 0, 23.73
91664592714858496, 519126, 0P00012R6S, 浦银安盛新经济结构灵活配置混合A, 积极配置型, 5, 3, 39.28
91664593423695872, 161903, 0P0000ZEAH, 万家行业优选混合 (LOF), 积极配置型, 5, 5, 4.73
91664594182864896, 005927, 0P0001D725, 创金合信新能源汽车主题股票A, 普通股票型, 5, 0, 59.81
91664594883313664, 001054, 0P00015G3U, 工银新金融股票A, 普通股票型, 5, 5, 23.69
91664595709591552, 000592, 0P00012NRY, 建信改革红利股票, 普通股票型, 5, 5, 28.28
91664596489732096, 000601, 0P00012M90, 华宝创新优选混合, 积极配置型, 5, 4, 11.17
91664614734954496, 100060, 0P0000W9KB, 富国高新技术产业混合, 积极配置型, 5, 4, 1.89
91664615498317824, 005765, 0P0001CWA8, 中欧明睿新常态混合C, 积极配置型, 5, 0, 42.15
91664616219738112, 005211, 0P0001BVHE, 银河智慧主题灵活配置混合, 积极配置型, 5, 0, 26.42
91664616945352704, 004851, 0P0001B8TX, 广发医疗保健股票A, 行业股票 - 医药, 5, 0, 6.98
91664617666772992, 005805, 0P0001DDH6, 华泰柏瑞医疗健康混合A, 行业混合 - 医药, 5, 0, 14.06
91664618342055936, 002780, 0P0001CRY6, 新疆前海联合泓鑫灵活配置混合A, 积极配置型, 5, 0, 3.65
91664619063476224, 020023, 0P0000TOF3, 国泰事件驱动策略混合, 积极配置型, 5, 5, 14.49
91664619810062336, 360016, 0P0000V0I1, 光大保德信行业轮动混合, 积极配置型, 5, 4, 1.48
91664620594397184, 540003, F000000426, 汇丰晋信动态策略混合A, 积极配置型, 5, 4, 37.26
91664621361954816, 002340, 0P00017KSZ, 富国价值优势混合, 沪港深灵活配置型, 5, 5, 18.89
91664622263730176, 001039, 0P00015T6Z, 嘉实先进制造股票, 普通股票型, 5, 4, 21.66
